step,candidate,chosen,n_customers,n_remaining,distance_to_candidate,remaining_capacity_ratio,candidate_demand_ratio,dist_candidate_to_depot,urgency_score
0,1,0,10,10,0.21748853898847095,1.0,0.37958268376086934,0.21748853898847095,0.2791291716697872
0,2,1,10,10,0.04732364425828449,1.0,0.16221986117422588,0.04732364425828449,0.2791291716697872
0,3,0,10,10,0.06386015026299029,1.0,0.16700709473060774,0.06386015026299029,0.2791291716697872
0,4,0,10,10,0.32136935687785534,1.0,0.39925550948245536,0.32136935687785534,0.2791291716697872
0,5,0,10,10,0.5093872913789715,1.0,0.24761899143617241,0.5093872913789715,0.2791291716697872
0,6,0,10,10,0.2760734001790705,1.0,0.16773246237023148,0.2760734001790705,0.2791291716697872
0,7,0,10,10,0.24196338520984823,1.0,0.3963148486641246,0.24196338520984823,0.2791291716697872
0,8,0,10,10,0.3007782654728335,1.0,0.326977222372964,0.3007782654728335,0.2791291716697872
0,9,0,10,10,0.5080939190687156,1.0,0.2747748972705353,0.5080939190687156,0.2791291716697872
0,10,0,10,10,0.5626096354396656,1.0,0.2698081454356859,0.5626096354396656,0.2791291716697872
1,1,0,10,9,0.1915105062488955,0.8377801388257742,0.37958268376086934,0.21748853898847095,0.3331771174010073
1,3,1,10,9,0.0364523791189014,0.8377801388257742,0.16700709473060774,0.06386015026299029,0.3331771174010073
1,4,0,10,9,0.3005240880888532,0.8377801388257742,0.39925550948245536,0.32136935687785534,0.3331771174010073
1,5,0,10,9,0.5468590658337645,0.8377801388257742,0.24761899143617241,0.5093872913789715,0.3331771174010073
1,6,0,10,9,0.322686740674585,0.8377801388257742,0.16773246237023148,0.2760734001790705,0.3331771174010073
1,7,0,10,9,0.22955019383632919,0.8377801388257742,0.3963148486641246,0.24196338520984823,0.3331771174010073
1,8,0,10,9,0.3227218079724574,0.8377801388257742,0.326977222372964,0.3007782654728335,0.3331771174010073
1,9,0,10,9,0.5243252450055969,0.8377801388257742,0.2747748972705353,0.5080939190687156,0.3331771174010073
1,10,0,10,9,0.5935137675262636,0.8377801388257742,0.2698081454356859,0.5626096354396656,0.3331771174010073
2,1,1,10,8,0.22201987975848742,0.6707730440951665,0.37958268376086934,0.21748853898847095,0.41613057371188206
2,4,0,10,8,0.33240469041921433,0.6707730440951665,0.39925550948245536,0.32136935687785534,0.41613057371188206
2,5,0,10,8,0.573042544209032,0.6707730440951665,0.24761899143617241,0.5093872913789715,0.41613057371188206
2,6,0,10,8,0.3243036181008955,0.6707730440951665,0.16773246237023148,0.2760734001790705,0.41613057371188206
2,7,0,10,8,0.26444627634945317,0.6707730440951665,0.3963148486641246,0.24196338520984823,0.41613057371188206
2,8,0,10,8,0.2956887824642205,0.6707730440951665,0.326977222372964,0.3007782654728335,0.41613057371188206
2,9,0,10,8,0.5597628662203962,0.6707730440951665,0.2747748972705353,0.5080939190687156,0.41613057371188206
2,10,0,10,8,0.6240580859370228,0.6707730440951665,0.2698081454356859,0.5626096354396656,0.41613057371188206
3,4,0,10,7,0.11133786865322721,0.2911903603342971,0.39925550948245536,0.32136935687785534,0.9585797117368059
3,5,0,10,7,0.5519084594358744,0.2911903603342971,0.24761899143617241,0.5093872913789715,0.9585797117368059
3,6,0,10,7,0.4634008946113453,0.2911903603342971,0.16773246237023148,0.2760734001790705,0.9585797117368059
3,7,0,10,7,0.07577621609915462,0.2911903603342971,0.3963148486641246,0.24196338520984823,0.9585797117368059
3,8,0,10,7,0.5139596762843776,0.2911903603342971,0.326977222372964,0.3007782654728335,0.9585797117368059
3,9,1,10,7,0.42740562739590804,0.2911903603342971,0.2747748972705353,0.5080939190687156,0.9585797117368059
3,10,0,10,7,0.5581086583964595,0.2911903603342971,0.2698081454356859,0.5626096354396656,0.9585797117368059
4,4,0,10,6,0.32136935687785534,1.0,0.39925550948245536,0.32136935687785534,0.2791291716697872
